190	46.872246ms
191	41.610677ms
192	51.019889ms
193	46.79302ms
194	45.809588ms
195	50.133488ms
196	49.806931ms
197	55.824264ms
198	54.176185ms
199	49.281481ms
200	43.408336ms
201	49.477226ms
202	33.486554ms
203	47.868351ms
204	37.767659ms
205	58.571987ms
206	56.963275ms
207	40.408369ms
208	57.674772ms
209	46.104857ms
210	52.87645ms
211	50.973911ms
212	50.003901ms
213	45.887901ms
214	54.7927ms
215	55.614227ms
216	63.769527ms
217	68.344658ms
218	25.644566ms
219	53.988299ms
220	65.699483ms
221	56.093152ms
222	56.487571ms
223	54.139426ms
224	68.272269ms
225	68.594216ms
226	56.398107ms
227	46.886134ms
228	25.425628ms
229	62.139503ms
230	61.622844ms
231	57.154756ms
232	40.723398ms
233	52.905842ms
234	47.752149ms
235	66.199637ms
236	71.603961ms
237	63.502611ms
238	60.899899ms
239	72.122976ms
240	67.771218ms
241	65.881505ms
242	66.908775ms
243	68.766061ms
244	71.262203ms
245	54.98878ms
246	60.55074ms
247	77.065361ms
248	65.249182ms
249	55.653897ms
250	74.293872ms
251	57.901982ms
252	68.035024ms
253	64.272829ms
254	73.258443ms
255	61.183716ms
256	26.505321ms
257	42.111068ms
258	73.075496ms
259	61.720489ms
260	64.873128ms
261	74.483769ms
262	53.898283ms
263	81.027413ms
264	76.030161ms
265	73.350551ms
266	74.520938ms
267	51.310087ms
268	71.237458ms
269	74.960488ms
270	66.953671ms
271	69.587496ms
272	76.292865ms
273	71.703958ms
274	74.582581ms
275	53.723228ms
276	43.019877ms
277	61.137751ms
278	46.487709ms
279	74.470128ms
280	47.325089ms
281	73.670465ms
282	64.886643ms
283	72.354158ms
284	69.361469ms
285	71.048448ms
286	85.922151ms
287	94.979541ms
288	76.411953ms
289	76.56914ms
290	82.83609ms
291	69.3623ms
292	75.974834ms
293	70.505758ms
294	78.234822ms
295	74.180311ms
296	41.519868ms
297	78.160662ms
298	84.137594ms
299	78.544217ms
300	81.947324ms
301	27.428583ms
302	78.01323ms
303	84.308456ms
304	71.000101ms
305	93.237975ms
306	71.75082ms
307	75.666103ms
308	70.545377ms
309	80.477809ms
310	70.801356ms
311	79.59885ms
312	85.15897ms
